,state_name,county_name,fips_code,report_date,cases_per_100K_7_day_count_change,percent_test_results_reported_positive_last_7_days,community_transmission_level
441024,Arkansas,Greene County,5055,2021/12/29,423.610,13.65,high
441025,California,Sutter County,6101,2021/12/29,154.690,7.63,high
441026,Colorado,Hinsdale County,8053,2021/12/29,0.000,,low
441027,Georgia,Bartow County,13015,2021/12/29,636.730,32.54,high
441028,Georgia,Dougherty County,13095,2021/12/29,114.830,15.07,high
441029,Georgia,Fannin County,13111,2021/12/29,114.560,6.91,high
441030,Georgia,Miller County,13201,2021/12/29,suppressed,0.0,high
441031,Illinois,Jefferson County,17081,2021/12/29,299.860,3.05,high
441032,Illinois,Whiteside County,17195,2021/12/29,444.040,7.44,high
441033,Indiana,Switzerland County,18155,2021/12/29,390.660,28.68,high
441034,Kentucky,Barren County,21009,2021/12/29,316.390,11.24,high
441035,Kentucky,Russell County,21207,2021/12/29,306.870,5.13,high
441036,Kentucky,Wayne County,21231,2021/12/29,201.640,4.26,high
441037,Massachusetts,Dukes County,25007,2021/12/29,496.190,5.66,high
441038,Michigan,Genesee County,26049,2021/12/29,495.060,22.92,high
441039,Minnesota,Kittson County,27069,2021/12/29,suppressed,6.82,high
441040,Mississippi,Walthall County,28147,2021/12/29,245.000,20.73,high
441041,Mississippi,Wilkinson County,28157,2021/12/29,463.500,27.1,high
441042,Missouri,Dent County,29065,2021/12/29,340.330,18.06,high
441043,Missouri,Scott County,29201,2021/12/29,240.330,23.31,high
441044,Nebraska,Stanton County,31167,2021/12/29,suppressed,,high
441045,Nevada,Eureka County,32011,2021/12/29,0.000,,low
441046,New York,Oswego County,36075,2021/12/29,395.310,14.3,high
441047,New York,Steuben County,36101,2021/12/29,251.630,9.85,high
441048,North Carolina,Macon County,37113,2021/12/29,211.950,6.96,high
441049,North Carolina,Watauga County,37189,2021/12/29,270.570,11.96,high
441050,Ohio,Defiance County,39039,2021/12/29,307.190,10.67,high
441051,Oklahoma,Carter County,40019,2021/12/29,128.870,10.82,high
441052,Oklahoma,Grady County,40051,2021/12/29,227.460,14.77,high
441053,Pennsylvania,Bradford County,42015,2021/12/29,406.150,11.58,high
441054,South Dakota,Kingsbury County,46077,2021/12/29,242.960,10.91,high
441055,Tennessee,Dyer County,47045,2021/12/29,252.970,18.18,high
441056,Tennessee,Grainger County,47057,2021/12/29,334.480,21.15,high
441057,Texas,Fort Bend County,48157,2021/12/29,727.740,26.62,high
441058,Texas,Kaufman County,48257,2021/12/29,267.340,22.4,high
441059,Texas,Kinney County,48271,2021/12/29,0.000,0.0,low
441060,Virginia,Fairfax City,51600,2021/12/29,391.360,,high
